dates,Total_cases
2020-08-29,25015437.0
2020-08-30,25236699.0
2020-08-31,25499317.0
2020-09-01,25764220.0
2020-09-02,26047805.0
2020-09-03,26328824.0
2020-09-04,26642643.0
2020-09-05,26912605.0
2020-09-06,27143348.0
2020-09-07,27361075.0
2020-09-08,27602981.0
2020-09-09,27887688.0
2020-09-10,28187730.0
2020-09-11,28508666.0
2020-09-12,28795068.0
2020-09-13,29037765.0
2020-09-14,29300957.0
2020-09-15,29586377.0
2020-09-16,29890419.0
2020-09-17,30205112.0
2020-09-18,30530715.0
2020-09-19,30822979.0
2020-09-20,31075065.0
2020-09-21,31350821.0
2020-09-22,31635042.0
2020-09-23,31910493.0
2020-09-24,32262651.0
2020-09-25,32592948.0
2020-09-26,32880906.0
2020-09-27,33132305.0
2020-09-28,33386140.0
2020-09-29,33668179.0
2020-09-30,33996322.0
2020-10-01,34314446.0
2020-10-02,34611681.0
2020-10-03,34943763.0
2020-10-04,35205506.0
2020-10-05,35505922.0
2020-10-06,35832039.0
2020-10-07,36182846.0
2020-10-08,36543890.0
2020-10-09,36904287.0
2020-10-10,37260796.0
2020-10-11,37548224.0
2020-10-12,37839129.0
2020-10-13,38158142.0
2020-10-14,38540161.0
2020-10-15,38946718.0
2020-10-16,39357905.0
2020-10-17,39730605.0
2020-10-18,40047114.0
2020-10-19,40433331.0
2020-10-20,40821933.0
2020-10-21,41266493.0
2020-10-22,41738433.0
2020-10-23,42234397.0
2020-10-24,42691087.0
2020-10-25,43051170.0
2020-10-26,43536814.0
2020-10-27,44006276.0
2020-10-28,44517379.0
2020-10-29,45067541.0
2020-10-30,45637658.0
2020-10-31,46113465.0
2020-11-01,46575736.0
2020-11-02,47136486.0
2020-11-03,47689293.0
2020-11-04,48199622.0
2020-11-05,48794945.0
2020-11-06,49438618.0
2020-11-07,50036298.0
2020-11-08,50515513.0
2020-11-09,51017685.0
2020-11-10,51575582.0
2020-11-11,52223757.0
2020-11-12,52870794.0
2020-11-13,53521418.0
2020-11-14,54116492.0
2020-11-15,54590191.0
2020-11-16,55120479.0
2020-11-17,55728841.0
2020-11-18,56355318.0
2020-11-19,57006705.0
2020-11-20,57673512.0
2020-11-21,58262037.0
2020-11-22,58749938.0
2020-11-23,59268403.0
2020-11-24,59857850.0
2020-11-25,60494209.0
2020-11-26,61078085.0
2020-11-27,61749078.0
2020-11-28,62346903.0
2020-11-29,62834341.0
2020-11-30,63339265.0
2020-12-01,63947958.0
2020-12-02,64596103.0
2020-12-03,65288306.0
2020-12-04,65968507.0
2020-12-05,66610808.0
2020-12-06,67149510.0
2020-12-07,67663843.0
2020-12-08,68302251.0
2020-12-09,68973078.0
2020-12-10,70466211.0
2020-12-11,71164680.0
2020-12-12,71787629.0
2020-12-13,72335630.0
2020-12-14,72859287.0
2020-12-15,73485176.0
2020-12-16,74219546.0
2020-12-17,74955161.0
2020-12-18,75672814.0
2020-12-19,76289042.0
2020-12-20,76823486.0
2020-12-21,77364641.0
2020-12-22,78011432.0
2020-12-23,78704434.0
2020-12-24,79374464.0
2020-12-25,79840206.0
2020-12-26,80351598.0
