,GaragNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
124,4161,29,2,2,14.11.2020 23:08:52,55.832697,49.04339,0,200
125,9703,33,16,2,14.11.2020 23:08:26,55.812238,49.267622,0,159
126,2534,45,17,2,14.11.2020 23:08:55,55.799999,48.978127,37,293
127,2713,5,6,2,14.11.2020 23:08:42,55.771552,49.211928,0,349
128,2151,31,8,2,14.11.2020 23:08:50,55.767457,49.104618,35,164
129,4308,29,8,2,14.11.2020 23:08:47,55.832103,49.044133,0,157
130,4769,72,3,2,14.11.2020 23:08:57,55.832078,49.043592,0,154
131,4197,36,5,2,14.11.2020 22:55:18,55.832153,49.048769,0,48
132,14845,35,10,2,14.11.2020 23:08:40,55.80865,49.06185,0,40
133,4153,15,2,2,14.11.2020 23:08:47,55.827245,49.107587,49,269
134,2106,31,20,2,14.11.2020 23:08:50,55.772297,49.20947,0,224
135,4703,2,13,2,14.11.2020 23:08:31,55.831944,49.048459,0,352
136,2752,91,10,2,14.11.2020 23:08:36,55.772388,49.208702,0,0
137,17054,43,10,2,14.11.2020 22:50:43,55.782983,49.177877,0,208
138,4170,36,7,2,14.11.2020 23:08:30,55.831232,49.049074,0,146
139,4184,29,3,2,14.11.2020 23:07:09,55.878939,49.006488,0,2
140,2726,91,8,2,14.11.2020 23:08:55,55.820983,49.184172,20,237
141,7122,89,17,2,14.11.2020 23:08:40,55.874067,49.0033,0,125
142,4764,46,17,2,14.11.2020 23:08:47,55.836748,48.970757,44,290
143,2732,91,3,2,14.11.2020 23:08:55,55.772467,49.210845,0,263
144,4268,47,5,2,14.11.2020 23:06:49,55.831669,49.049866,0,93
145,2502,31,10,2,14.11.2020 23:08:39,55.771622,49.21178,0,8
146,4205,46,13,2,14.11.2020 23:08:50,55.820064,48.895313,24,259
147,93750,53,2,2,14.11.2020 23:08:40,55.811717,49.267167,0,212
148,9210,33,6,2,14.11.2020 23:08:40,55.811533,49.266583,0,52
149,2419,22,7,2,14.11.2020 23:08:47,55.771287,49.21093,0,262
150,9710,63,4,2,14.11.2020 22:50:14,55.811412,49.267203,0,63
151,11979,90,7,1,14.11.2020 23:08:40,55.7958,49.165467,0,143
152,4152,29,12,2,14.11.2020 23:08:50,55.831652,49.04648,18,46
153,4711,54,10,2,14.11.2020 23:08:57,55.836077,49.121584,0,272
154,4300,15,5,2,14.11.2020 23:08:52,55.832183,49.047899,8,255
155,9636,63,7,2,14.11.2020 23:03:35,55.811883,49.266663,0,154
156,4816,10,12,2,14.11.2020 23:08:36,55.831055,49.047737,0,0
157,2527,45,25,2,14.11.2020 23:01:14,55.727323,49.191297,0,42
158,9468,33,6,1,14.11.2020 23:08:40,55.811967,49.267483,0,327
159,1124,37,2,2,14.11.2020 23:08:40,55.87385,49.0033,0,14
160,1120,37,14,2,14.11.2020 23:08:40,55.873933,49.001467,0,210
161,4313,6,5,2,14.11.2020 23:08:52,55.831048,49.042645,22,154
162,4166,6,14,2,14.11.2020 23:08:47,55.831555,49.044277,0,336
163,4705,54,8,2,14.11.2020 23:08:28,55.831862,49.043923,0,152
164,2766,1,14,2,14.11.2020 23:08:44,55.772067,49.211938,0,222
165,4701,2,9,2,14.11.2020 23:08:44,55.832075,49.04818,0,338
166,2547,45,11,2,14.11.2020 23:00:00,55.77176,49.21086,0,179
167,12680,55,4,2,14.11.2020 23:08:40,55.782617,49.179833,0,42
168,2542,45,7,2,14.11.2020 23:08:44,55.771733,49.211826,0,38
169,2841,23,3,2,14.11.2020 23:08:38,55.771368,49.210607,0,16
170,16171,28A,2,2,14.11.2020 23:08:40,55.7952,49.165533,0,222
171,2709,31,5,2,14.11.2020 23:08:39,55.773705,49.211693,0,30
172,2544,45,6,2,14.11.2020 22:52:08,55.772343,49.2106,0,174
173,4266,46,10,2,14.11.2020 23:08:50,55.831919,49.049931,0,248
174,2435,30,5,2,14.11.2020 23:08:36,55.771295,49.210673,0,275
175,4250,46,15,2,14.11.2020 23:08:01,55.772877,49.219568,50,0
176,2721,31,14,2,14.11.2020 23:08:38,55.771238,49.211103,0,284
177,4244,46,5,2,14.11.2020 23:08:46,55.83104,49.047752,0,318
178,2708,30,30,2,14.11.2020 23:08:47,55.773323,49.209887,0,159
179,2470,18,4,2,14.11.2020 23:08:44,55.791548,49.225845,0,37
180,4245,46,14,2,14.11.2020 23:08:54,55.827197,49.13032,57,270
181,7117,89,15,2,14.11.2020 23:08:42,55.873833,49.0033,0,20
182,9709,33,7,2,14.11.2020 23:08:38,55.79643,49.216738,31,88
183,2526,91,15,2,14.11.2020 23:08:52,55.773575,49.212955,9,316
184,2123,1,12,2,14.11.2020 23:08:39,55.773328,49.210865,0,89
185,2112,34,7,2,14.11.2020 23:07:55,55.77262,49.210252,0,34
186,2779,5,1,2,14.11.2020 22:54:40,55.771872,49.210275,0,0
187,16629,35A,8,2,14.11.2020 23:01:50,55.795672,49.166097,0,171
188,2520,91,14,2,14.11.2020 23:08:44,55.773813,49.211363,0,36
189,2511,60,18,2,14.11.2020 23:08:49,55.772092,49.211537,0,317
190,2136,4,5,2,14.11.2020 23:04:45,55.771928,49.210025,0,0
191,4216,46,23,2,14.11.2020 23:08:47,55.867233,49.003591,0,176
192,2532,45,18,2,14.11.2020 23:08:39,55.773058,49.212963,12,0
193,2468,60,4,2,14.11.2020 22:56:30,55.773308,49.21067,0,174
194,2780,91,13,2,14.11.2020 22:55:15,55.772083,49.210627,0,0
195,4122,29,11,2,14.11.2020 23:08:49,55.832375,49.043728,0,158
196,16859,74,2,2,14.11.2020 23:08:40,55.795367,49.16635,0,161
197,16726,28,2,1,14.11.2020 23:08:40,55.795833,49.165483,0,136
198,4228,47,4,2,14.11.2020 23:08:47,55.831591,49.044248,0,354
199,2545,45,20,2,14.11.2020 23:02:31,55.772053,49.211509,0,209
200,2537,45,16,2,14.11.2020 22:50:10,55.773805,49.212535,0,8
201,1101,37,3,2,14.11.2020 23:08:40,55.873317,49.002883,0,40
202,9811,53,5,2,14.11.2020 23:08:40,55.811583,49.267217,0,39
203,4176,10A,5,2,14.11.2020 23:08:47,55.82132,49.051237,39,309
204,9246,33,10,2,14.11.2020 23:08:40,55.81155,49.266517,0,43
205,4272,47,14,2,14.11.2020 23:03:43,55.831686,49.049762,0,157
206,9721,63,12,2,14.11.2020 23:08:40,55.812367,49.267317,0,36
207,4710,47,10,2,14.11.2020 23:08:55,55.833306,49.073731,10,271
208,4210,54,9,2,14.11.2020 23:08:52,55.828867,49.042864,0,318
209,2768,60,14,2,14.11.2020 23:08:34,55.773378,49.208585,0,0
210,2552,45,13,2,14.11.2020 23:06:00,55.773719,49.212569,0,10
211,2540,45,15,2,14.11.2020 23:04:04,55.773834,49.211977,0,357
212,9997,33,15,2,14.11.2020 23:08:30,55.812267,49.267317,0,104
213,7133,89,18,2,14.11.2020 23:08:40,55.874433,49.00155,0,225
214,1123,37,30,1,14.11.2020 23:08:40,55.873383,49.002917,0,6
215,9399,33,20,2,14.11.2020 23:08:44,55.76175,49.23133,11,185
216,7128,89,19,2,14.11.2020 23:08:42,55.87345,49.003267,0,186
217,4190,62,9,2,14.11.2020 23:08:47,55.831003,49.047493,0,279
218,4704,2,11,2,14.11.2020 23:08:52,55.831524,49.049292,1,243
